goal combination,count,pick count
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon']",18,13
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch']",28,13
"['1 Skulltula from each Adult Dungeon', '3 Boots']",14,10
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas']",17,8
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots']",18,6
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics']",18,7
"['1 Skulltula from each Adult Dungeon', '3 Shields']",13,6
"['1 Skulltula from each Adult Dungeon', '3 Skulltulas in Water Temple']",8,6
"['1 Skulltula from each Adult Dungeon', '3 Songs']",9,4
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots']",15,7
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Shields']",7,1
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Tunics']",10,3
"['1 Skulltula from each Adult Dungeon', '3 Tunics & 3 Boots']",15,6
"['1 Skulltula from each Adult Dungeon', '3 Tunics', 'Goron Bracelet']",6,2
"['1 Skulltula from each Adult Dungeon', '3 Tunics']",28,9
"['1 Skulltula from each Adult Dungeon', '3 Unused Keys in Gerudo Training Grounds']",10,3
"['1 Skulltula from each Adult Dungeon', '30 Deku Nuts']",24,6
"['1 Skulltula from each Adult Dungeon', '37th Heart Piece (Child Fortress)']",15,5
"['1 Skulltula from each Adult Dungeon', '4 Skulltulas in Shadow Temple']",10,9
"['1 Skulltula from each Adult Dungeon', '4 Songs']",6,3
"['1 Skulltula from each Adult Dungeon', '4 Unused Keys in Forest Temple']",15,8
"['1 Skulltula from each Adult Dungeon', '4 Unused Keys in Gerudo Training Grounds']",10,9
"['1 Skulltula from each Adult Dungeon', '5 Hearts']",22,6
"['1 Skulltula from each Adult Dungeon', '5 Magic Beans']",21,5
"['1 Skulltula from each Adult Dungeon', '5 Unused Keys in Gerudo Training Grounds']",6,2
"['1 Skulltula from each Adult Dungeon', '5 Zora area HPs']",35,26
"['1 Skulltula from each Adult Dungeon', '6 Hearts']",16,5
"['1 Skulltula from each Adult Dungeon', '6 Songs']",10,3
"['1 Skulltula from each Adult Dungeon', '7 Different Bottled Contents']",13,6
