goal combination,count,pick count
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', '3 Swords & 3 Tunics']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', '8 Hearts (no duping)']",1,2
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Desert Colossus HP']",1,2
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Goron Bracelet']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Open 3 Gold Rupee Chests']",1,2
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon', 'Water Medallion']",1,0
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon']",2,2
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '6 Hearts']",1,0
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'All 5 Lake Hylia Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'All 5 Skulltulas in Spirit Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Beat the Fire Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Defeat Barinade']",1,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Golden Gauntlets']",2,2
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'Open 5 Gold Rupee Chests']",1,0
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch']",3,2
"['1 Skulltula from each Adult Dungeon', '3 Boots', '30 Deku Nuts']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Boots', 'All 5 Skulltulas in Fire Temple']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Boots', 'Goron Bracelet']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Boots']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas', '3 Shields & 3 Boots']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas', 'All 8 Zoras Domain area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas', 'Goron Tunic']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas', 'Open the Final Door of Spirit Trial']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas', 'Quiver (40)']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas', 'Sarias Song']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas']",2,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots', '30 Deku Nuts']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots', 'All 4 Lon Lon Ranch area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots', 'Keaton Mask']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots', 'Quiver (40)']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots', 'Sarias Song']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots']",2,0
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics', '6 Songs']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics', '7 Hearts (no duping)']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics', 'All 4 Child Skulltulas in Zoras Domain Area']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics', 'Exactly 30 Deku Sticks']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics', 'Quiver (40)']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics', 'Sarias Song']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Tunics']",2,2
"['1 Skulltula from each Adult Dungeon', '3 Shields', '6 Hearts']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields', 'All 4 Lost Woods area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields', 'Exactly 30 Deku Sticks']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields', 'Goron Bracelet']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields', 'Green Gauntlets']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields', 'Lon Lon Ranch HP']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Shields']",2,0
"['1 Skulltula from each Adult Dungeon', '3 Songs', '3 Tunics']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Songs', 'All 8 Zoras Domain area Skulltulas']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Songs', 'Free all 9 Gorons in Fire Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Songs']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'All 8 Kakariko area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Fire Temple Boss Key']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Frogs HP']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Map & Compass in Dodongos Cavern']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Obtain all 5 Small Keys in Shadow Temple']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Open 3 Gold Rupee Chests']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Open the Final Door of Spirit Trial']",2,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots', 'Win Bombchu Bowling Prize']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots']",3,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Shields', 'Bolero of Fire']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Shields', 'Eponas Song']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Shields', 'Goron Bracelet']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Shields']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Tunics', 'Goron Bracelet']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Tunics', 'Water Medallion']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Tunics']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Tunics & 3 Boots', 'All 3 Kokiri Forest area Skulltulas']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Tunics & 3 Boots', 'Beat the Fire Temple']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Tunics & 3 Boots', 'Fairy Slingshot']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Tunics & 3 Boots']",1,1
"['1 Skulltula from each Adult Dungeon', '3 Tunics', '4 Skulltulas in Shadow Temple']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Tunics', 'All 4 Lon Lon Ranch area Skulltulas']",1,0
"['1 Skulltula from each Adult Dungeon', '3 Tunics', 'All 4 Lost Woods area Skulltulas']",1,0
